;displaystopid;fullname;fullnamelocalized;lastupdated;latitude;longitude;operators;shortname;shortnamelocalized;stopid
3329;4069;Blessington Rd;;29/05/2017 09:46;53.23268889;-6.456678889;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4069
3330;4070;Blessington Rd;;29/05/2017 09:46;53.23746694;-6.455023889;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4070
3331;4071;Blessington Rd;;29/05/2017 09:46;53.24136111;-6.45578;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4071
3332;4072;Blessington Rd;;29/05/2017 09:46;53.24864306;-6.455548056;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4072
3333;4073;Blessington Rd;;29/05/2017 09:46;53.2506;-6.453773056;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4073
3334;4086;Enniskerry Rd;;29/05/2017 09:46;53.22846306;-6.185488056;[{'name': 'bac', 'routes': ['44']}];Enniskerry Rd;Br Áth na Sceire;4086
3335;4087;Enniskerry Rd;;29/05/2017 09:46;53.22339694;-6.181638889;[{'name': 'bac', 'routes': ['44']}];Enniskerry Rd;Br Áth na Sceire;4087
3336;4088;Enniskerry Rd;;29/05/2017 09:46;53.22039194;-6.18164;[{'name': 'bac', 'routes': ['44']}];Enniskerry Rd;Br Áth na Sceire;4088
3337;4089;Enniskerry Rd;;29/05/2017 09:46;53.21279194;-6.176211111;[{'name': 'bac', 'routes': ['44']}];Enniskerry Rd;Br Áth na Sceire;4089
3338;4090;Enniskerry Rd;;29/05/2017 09:46;53.21019;-6.175096944;[{'name': 'bac', 'routes': ['44']}];Enniskerry Rd;Br Áth na Sceire;4090
3339;4091;Enniskerry Rd;;29/05/2017 09:46;53.20360694;-6.176228889;[{'name': 'bac', 'routes': ['44']}];Enniskerry Rd;Br Áth na Sceire;4091
3340;4093;Enniskerry Rd;;29/05/2017 09:46;53.198875;-6.173501111;[{'name': 'bac', 'routes': ['44']}];Enniskerry Rd;Br Áth na Sceire;4093
3341;4094;Enniskerry Rd;;29/05/2017 09:46;53.19378;-6.173851944;[{'name': 'bac', 'routes': ['44']}];Enniskerry Rd;Br Áth na Sceire;4094
3342;4095;Enniskerry Village;;29/05/2017 09:46;53.19294194;-6.170385;[{'name': 'bac', 'routes': ['185']}];Enniskerry Village;SrBhl Áth na Sceire;4095
3343;4096;Enniskerry Village;;29/05/2017 09:46;53.19281111;-6.169971111;[{'name': 'bac', 'routes': ['44']}];Enniskerry Village;SrBhl Áth na Sceire;4096
3344;4097;Enniskerry Village;;29/05/2017 09:46;53.19300306;-6.170108889;[{'name': 'bac', 'routes': ['185']}];Enniskerry Village;Sráidbhaile Áth na ;4097
3345;4098;Blessington Rd;;29/05/2017 09:46;53.20861;-6.489321944;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4098
3346;4100;Blessington Rd;;29/05/2017 09:46;53.18873611;-6.515405;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4100
3347;4101;Blessington Rd;;29/05/2017 09:46;53.18687806;-6.518215;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4101
3348;4102;Blessington Rd;;29/05/2017 09:46;53.18887;-6.515605;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4102
3349;4103;Kilgarron Road;;29/05/2017 09:46;53.19275611;-6.18188;[{'name': 'bac', 'routes': ['185']}];Kilgarron Road;Bóthar Kilgarron;4103
